2025-06-06 21:14:04 | PUNHO FECHADO | PUNHO FECHADO detectado
2025-06-06 21:14:07 | PUNHO FECHADO | PUNHO FECHADO detectado
2025-06-06 21:14:07 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:14:08 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:14:17 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:14:38 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:14:41 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:14:42 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:14:45 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:14:46 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:14:47 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:14:49 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:14:49 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:14:50 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:14:57 | PUNHO FECHADO | PUNHO FECHADO detectado
2025-06-06 21:15:54 | PUNHO FECHADO | PUNHO FECHADO detectado
2025-06-06 21:16:00 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:16:00 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:16:06 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:16:09 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:16:17 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:16:18 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:16:23 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:16:24 | PUNHO FECHADO | PUNHO FECHADO detectado
2025-06-06 21:16:27 | PUNHO FECHADO | PUNHO FECHADO detectado
2025-06-06 21:16:28 | PUNHO FECHADO | PUNHO FECHADO detectado
2025-06-06 21:16:28 | PUNHO FECHADO | PUNHO FECHADO detectado
2025-06-06 21:16:29 | PUNHO FECHADO | PUNHO FECHADO detectado
2025-06-06 21:16:29 | PUNHO FECHADO | PUNHO FECHADO detectado
2025-06-06 21:16:30 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:16:41 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:16:48 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:16:52 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:16:53 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:16:55 | PUNHO FECHADO | PUNHO FECHADO detectado
2025-06-06 21:16:56 | PUNHO FECHADO | PUNHO FECHADO detectado
2025-06-06 21:17:04 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:17:04 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:17:09 | MÃO LEVANTADA | MÃO LEVANTADA detectado
